Cell_Type,Marker
B,CCR7
B,CD19
B,CD22
B,CD24
B,CD27
B,CD38
B,CD79A
B,CD79B
B,CD86
B,CXCR4
B,FCER2
B,IGHD
B,IGHM
B,IGKC
B,IL21R
B,IL4R
B,MME
B,MS4A1
B,SPIB
B,TCL1A
B,TNFRSF13B
B,TNFRSF13C
B,TNFRSF17
Endothelial,CD31
Endothelial,PECAM
Fibroblasts,COL1A2
Fibroblasts,DCN
Keratinocytes,KRT1
Keratinocytes,KRT5
Macrophages,CD14
Macrophages,CD68
Macrophages,ITGAM
Macrophages,ITGAX
Macrophages,MARCO
Macrophages,MS4A7
mDC,CD14
mDC,CST3
mDC,FCER1A
mDC,FCGR3A
mDC,LYZ
mDC,MS4A7
Melanocytes,PMEL
Myocytes,MYLK
NK,GNLY
NK,GNLY
NK,GZMA
NK,GZMB
NK,KLRD1
NK,NCAM1
NK,NCR1
NK,NCR2
NK,NCR3
NK,NKG7
NK,XCL1
pDC,AXL
pDC,BCL11A
pDC,CLEC4C
pDC,CXCR3
pDC,IL3RA
pDC,IRF7
pDC,IRF8
pDC,LILRA4
pDC,NRP1
pDC,NRP2
pDC,SIGLEC6
pDC,TCF4
Plasma,CD27
Plasma,CD38
Plasma,FKBP11
Plasma,IRF4
Plasma,JCHAIN
Plasma,MZB1
Plasma,PRDM1
Plasma,SDC1
Plasma,SEC11C
Plasma,TRIB1
Plasma,XBP1
Platelets,PF4
Platelets,PPBP
Platelets,TUBB1
T,BCL11B
T,CAMK4
T,CD2
T,CD3D
T,CD3E
T,CD3G
T,CD4
T,CD6
T,CD8A
T,CD8B
T,FOXP3
T,IL7R
T,NKG7
T,TRAC
