Monocyte,Macrophage,Eosinophil,Neutrophil,Basophil,NK cell,B cell,plasma,T cell,Dendritic,Fibroblast,Keratinocytes,Melanocytes,Myocytes,Myeloid lineage,Erythroid lineage,Lung
Cd14,Cd14,Siglecf,Ly6g,Il3ra,Gzma,Ccr7,Cd27,Bcl11b,Cd14,Col1a2,Krt1,Pmel,Mylk,Itgam,Itga2b,Clec7a
Ccr2,Cd68,Adgre1,Itgam,Ptgdr2,Gzmb,Cd19,Cd38,Camk4,Cst3,Dcn,Krt5,,Myl2,Siglecf,Eng,
Csf1r,Itgam,Itga4,Fcgr1,Enpp3,Klrd1,Cd22,Fkbp11,Cd2,Fcer1a,,,,,Ly6g,,
Cx3cr1,Itgax,Il5ra,Fcgrt,Fcer1a,Ncam1,Cd27,Irf4,Cd3d,Ms4a7,,,,,Csf1r,,
Fcgr1,Marco,Ccr3,,Fcer1g,Ncr1,Cd38,Jchain,Cd3e,Axl,,,,,Cxcr2,,
Fcgr4,Ms4a7,Epx,,Ccr3,Nkg7,Cd79a,Prdm1,Cd3g,Bcl11a,,,,,Cxcr4,,
,Nanos1,Itgam,,Cd69,Xcl1,Cd79b,Sdc1,Cd4,Dlec1,,,,,Adgre1,,
,Hhla1,,,Itgam,Klrb1,Cd86,Sec11c,Cd6,Cxcr3,,,,,Itgax,,
,Fcgr2b,,,,Fcgr3,Cxcr4,Trib1,Cd8a,Irf7,,,,,Selplg,,
,Fcgr3,,,,Itgam,Fcer2a,Xbp1,Foxp3,Irf8,,,,,Cd34,,
,Fcgr4,,,,,Ighd,,Il7r,Nrp1,,,,,Ly6a,,
,,,,,,Ighm,,Nkg7,Nrp2,,,,,Ly6e,,
,,,,,,Igkc,,Trac,Tcf4,,,,,Slamf1,,
,,,,,,Il21r,,Tcl1b2,Itgam,,,,,Itgal,,
,,,,,,Mme,,,Il4i1,,,,,,,
,,,,,,Ms4a1,,,,,,,,,,
,,,,,,Spib,,,,,,,,,,
,,,,,,Tnfrsf13b,,,,,,,,,,
,,,,,,Tnfrsf13c,,,,,,,,,,
,,,,,,Tnfrsf17,,,,,,,,,,
,,,,,,Fcgr2b,,,,,,,,,,
